feature,01241225178,01241225211,01241225220,01241225226,others_mean,220_minus_others,gap_z
chrg_cnt,388.25561645188367,659.4353321489938,137.23029513613113,11.209626345788474,352.96685831555527,-215.73656317942414,-26.875847724041506
cumul_energy_chrgd,10546.581395348838,12812.196901301802,5157.185182831909,127.50696643445218,7828.761754361698,-2671.5765715297894,-15.589340723222318
cumul_pw_chrgd,14650.973687848715,34143.26557649184,24113.353467611272,7745.2355604813165,18846.491608273955,5266.861859337318,13.126635087226157
odometer,39698.2018960154,119111.2550310161,77887.56650887949,29154.15389487017,62654.536940633894,15233.029568245598,11.29214595597393
soh,97.13580210339211,95.19767015173137,96.46106998761002,91.79347688410385,94.70898304640912,1.7520869412009006,5.664275477923558
ext_temp,0.0,23.79048839444331,27.61320964513772,29.513299556681442,17.767929317041585,9.845280328096134,2.6657158722306367
int_temp,0.0,25.703089961266272,32.506401499507575,38.54433185560481,21.415807272290362,11.090594227217213,2.464338522947355
sub_batt_volt,14.067456673085466,13.518472784459911,13.59966642310258,14.544490183660542,14.043473213735306,-0.4438067906327259,-1.3570536209044375
mod_max_temp,31.35915666814793,32.425342924542036,33.646344950281154,31.54813172894237,31.777543773877444,1.8688011764037107,0.6352299680877083
mod_min_temp,30.2575420925295,31.31610216384658,32.26088890300855,30.310322989233693,30.627989081869927,1.632899821138622,0.5738172647943188
soc,68.90198982866735,64.28625098290473,61.71604663722718,66.53150728309056,66.57324936488754,-4.857202727660365,-0.25818676391262274
socd,70.94590924801264,66.19853219559076,63.54220541983035,68.51266624445852,68.55236922935397,-5.010163809523618,-0.25808258136278267
pack_volt,352.35992198686614,350.0969478987681,347.79178447755504,350.4536098796707,350.9701599217683,-3.178375444213259,-0.21729615518159096
max_cell_volt,3.9085231817508514,3.8833118793138603,3.8578441401658354,3.8876884103863203,3.893174490483677,-0.035330350317841486,-0.21706558918889554
min_cell_volt,3.9023591566681484,3.8776783062003086,3.8523671252025284,3.88051298290057,3.886850148589675,-0.034483023387146705,-0.21256592672913563
pack_current,-22.238463437515428,-26.12844337012552,-34.70709565714649,-67.84308739708676,-38.73666473490923,4.029569077762744,0.1489599923945492
cell_volt_dispersion,0.0,5.824620671578763e-07,0.0,0.0,1.9415402238595877e-07,-1.9415402238595877e-07,-0.005396582562871971
batt_internal_temp,0.0,0.0,0.0,0.0,0.0,0.0,
batt_pw,0.0,0.0,0.0,0.0,0.0,0.0,
insul_resistance,3000.0,3000.0,2999.9205769291866,3000.0,3000.0,-0.07942307081339095,
mod_avg_temp,0.0,0.0,0.0,0.0,0.0,0.0,
